id;value;id2
"c(""138751_1.png"", ""138751_2.png"")";138751_2.png;138751
"c(""138756_1.png"", ""138756_2.png"")";138756_1.png;138756
"c(""138756_1.png"", ""138756_2.png"")";138756_2.png;138756
"c(""138760_1.png"", ""138760_2.png"")";138760_1.png;138760
"c(""138760_1.png"", ""138760_2.png"")";138760_2.png;138760
"c(""138761_1.png"", ""138761_2.png"")";138761_1.png;138761
"c(""138761_1.png"", ""138761_2.png"")";138761_2.png;138761
"c(""138765_1.png"", ""138765_2.png"")";138765_1.png;138765
"c(""138765_1.png"", ""138765_2.png"")";138765_2.png;138765
"c(""138766_1.png"", ""138766_2.png"")";138766_1.png;138766
"c(""138766_1.png"", ""138766_2.png"")";138766_2.png;138766
"c(""138767_1.png"", ""138767_2.png"")";138767_1.png;138767
"c(""138767_1.png"", ""138767_2.png"")";138767_2.png;138767
"c(""138768_1.png"", ""138768_2.png"")";138768_1.png;138768
"c(""138768_1.png"", ""138768_2.png"")";138768_2.png;138768
"c(""138772_1.png"", ""138772_2.png"")";138772_1.png;138772
"c(""138772_1.png"", ""138772_2.png"")";138772_2.png;138772
"c(""138774_1.png"", ""138774_2.png"")";138774_1.png;138774
"c(""138774_1.png"", ""138774_2.png"")";138774_2.png;138774
"c(""138786_1.png"", ""138786_2.png"")";138786_1.png;138786
"c(""138786_1.png"", ""138786_2.png"")";138786_2.png;138786
"c(""138787_1.png"", ""138787_2.png"")";138787_1.png;138787
"c(""138787_1.png"", ""138787_2.png"")";138787_2.png;138787
"c(""138788_1.png"", ""138788_2.png"")";138788_1.png;138788
"c(""138788_1.png"", ""138788_2.png"")";138788_2.png;138788
"c(""138790_1.png"", ""138790_2.png"")";138790_1.png;138790
"c(""138790_1.png"", ""138790_2.png"")";138790_2.png;138790
"c(""138792_1.png"", ""138792_2.png"")";138792_1.png;138792
"c(""138792_1.png"", ""138792_2.png"")";138792_2.png;138792
"c(""138793_1.png"", ""138793_2.png"")";138793_1.png;138793
"c(""138793_1.png"", ""138793_2.png"")";138793_2.png;138793
"c(""138794_1.png"", ""138794_2.png"")";138794_1.png;138794
"c(""138794_1.png"", ""138794_2.png"")";138794_2.png;138794
